time_of_day,PULocationID,demand,avg_fare,total_revenue,hour,day_of_week,month,is_weekend
Morning Rush,68,64.32311977715878,16.924511169879548,2252568.42,6,0,1,0
Morning Rush,74,15.437762237762238,18.117154924285764,499780.49,6,1,1,0
Morning Rush,75,33.58897418004187,16.317094445994968,1044178.88,9,0,1,0
Morning Rush,79,51.7541782729805,16.077080651858093,1670654.33,6,0,1,0
Morning Rush,87,14.35281690140845,25.36499161598194,659571.75,6,1,1,0
Morning Rush,88,4.287529785544082,25.93551096593113,179440.8,7,2,1,0
Morning Rush,90,45.10933147632312,15.319316473859157,1404177.33,6,0,1,0
Morning Rush,100,64.97632311977716,15.66536645441145,2055087.45,6,0,1,0
Morning Rush,107,77.59958217270194,14.422086105755445,2348443.24,6,0,1,0
Morning Rush,113,37.701045296167244,15.339293691680636,1182587.47,6,0,1,0
Morning Rush,114,14.806451612903226,15.734084890729262,462955.63,6,0,1,0
Morning Rush,116,8.100786275911366,22.771406544385474,311012.5,6,2,1,0
Morning Rush,120,1.1333333333333333,37.690666666666665,713.38,7,4,10,0
Morning Rush,125,14.722457627118644,18.38443568814911,517146.02,9,0,1,0
Morning Rush,127,1.4613970588235294,31.62245833333333,27192.75,9,4,2,0
Morning Rush,128,1.04,30.0892,883.17,8,0,7,0
Morning Rush,137,37.89206128133705,13.993645588101309,1118183.74,6,0,1,0
Morning Rush,140,92.85654596100278,15.360872972242065,2984803.15,6,0,1,0
Morning Rush,141,97.64345403899722,14.036919840032681,2915811.23,6,0,1,0
Morning Rush,142,96.25069637883009,15.59389415797558,3033011.76,6,0,1,0
Morning Rush,143,62.133101045296165,15.296617813096974,1929222.61,7,0,1,0
Morning Rush,144,9.23319027181688,18.390488871665834,317570.76,8,0,1,0
Morning Rush,148,14.291695743196092,21.141326359185914,564122.76,7,0,1,0
Morning Rush,151,43.00488145048814,16.705714201619315,1400925.26,8,0,1,0
Morning Rush,152,4.6063515509601185,19.597304190157114,148927.09,6,2,1,0
Morning Rush,153,1.0642201834862386,32.32114678899082,4059.2799999999997,8,1,4,0
Morning Rush,158,17.817605633802817,20.31773813843679,662657.02,6,0,1,0
Morning Rush,161,96.80640668523677,19.93082995046316,3692423.43,6,0,1,0
